Name	Score	Pentamer count	Pentamer position	AU-block position	Sequence length
HOMEZ	6.1	5	1090 1103 1908 1986 2196	47...129 495...616 640...685 812...859 988...1047 1054...1129 1267...1339 1362...1427 1446...1487 1488...1543 1597...1627 1629...1691 1712...1754 1825...1869 2091...2302 2308...2368 2388...2442 2963...3030 3084...3152	3153
MBNL2	12.9	9	275 360 870 1585 1845 2131 2201 2205 2660	52...126 134...241 258...332 458...496 549...605 626...706 799...849 851...1023 1024...1490 1517...2047 2049...2154 2162...2437 2507...2642 2643...2669	2670
FRAS1	4.9	4	1202 1669 1898 1915	10...118 850...884 936...969 970...1009 1145...1179 1192...1251 1414...1525 1830...1872 1898...1951 2478...2517 2568...2703 2704...2744 2947...2983 3030...3144	3145
PELI2	21.7	16	249 356 554 628 871 1078 1342 1346 1421 1830 2975 3180 3224 3963 4188 4295	62...101 216...386 544...580 598...732 759...832 860...1002 1044...1125 1175...1215 1217...1265 1326...1390 1391...1774 1775...1900 2034...2135 2182...2271 2433...2500 2513...2584 2691...2767 2785...2818 2937...3022 3039...3120 3166...3255 3270...3329 3362...3474 3683...3806 3813...3962 3978...4145 4255...4359	4360
GDF15	8.4	5	113 130 141 195 199	103...163 186...240	241
FRMD3	15.5	12	446 549 1506 1519 1825 1938 1994 2032 2347 2478 2560 3103	43...73 103...433 435...735 811...864 1117...1187 1345...1385 1505...1566 1755...1802 1823...1867 1886...1922 1934...2057 2058...2179 2180...2229 2230...2474 2546...2594 2635...2783 2904...3130 3133...3172 3234...3271	3292
ANXA1	0	0		27...114 115...285	286
NAP1L2	5.2	4	199 407 455 514	85...346 357...481 505...624 672...810	811
MITF	11.4	9	53 538 1083 1148 1207 1282 1317 2144 2465	42...285 319...357 358...511 523...593 654...1035 1097...1510 1718...1775 1802...1852 1970...2033 2127...2162 2218...2261 2457...2509 2749...2925 2933...2970 3003...3088	3089
NID1	5.9	5	1012 1120 1438 1793 1879	471...548 799...868 1104...1240 1274...1352 1362...1426 1451...1554 1771...1933 2005...2036	2037
RASSF3	6.2	5	509 1792 1822 2208 2542	290...486 508...545 1054...1093 1235...1311 1399...1536 1558...1676 1822...1974 1977...2020 2040...2145 2146...2231 2340...2379 2380...2480 2522...2654	2655
CA13	9.1	7	100 957 1458 1897 2066 2082 2679	85...204 322...375 530...669 678...882 901...940 956...1046 1199...1263 1277...1340 1341...1399 1434...1483 1530...1567 1568...1611 1736...1782 1872...1965 2053...2318 2443...2723	2724
ZBTB12	0	0			319
CILP	3.3	3	82 269 494	201...240 352...397 417...584 975...1027 1120...1182 1250...1291 1560...1599	1973
MSC	1.3	1	1058	1036...1100	1112
TRIB3	0	0		845...868	869
KBTBD8	16.05	12	318 468 513 755 1105 1281 1910 1969 2020 2079 2320 2328	201...293 354...397 453...647 726...778 1045...1208 1266...1372 1441...1487 1488...1565 1651...1875 1876...1962 1963...2110 2188...2260 2311...2389 2426...2719 2722...2824	2825
ZEB1	10.4	8	596 625 1209 1368 1397 1483 1526 1547	3...102 111...167 353...550 551...739 740...855 968...1013 1053...1514 1521...1573 1588...1912	1938
PON3	2.6	2	210 514	194...274 489...544 819...845	846
KDM4D	2.3	2	62 499	213...252 421...573	574
TMCC3	18.35	13	642 1727 2669 2886 2891 2933 3422 3632 3642 3925 3972 3992 3996	20...94 127...163 764...802 822...856 1012...1047 1271...1313 1619...1661 1771...1935 2575...2658 2697...2799 2814...2927 3113...3147 3151...3219 3410...3452 3525...3709 3795...4091 4237...4310	4311
TMEM42	0	0		445...489	490
FOXQ1	3.6	3	154 335 563	90...245 266...294 525...608 658...698 718...831	832
KLF11	8.2	6	384 1408 1438 1448 1932 2265	132...174 194...562 576...619 657...692 1214...1263 1384...1540 1773...1830 1917...1987 2195...2328	2329
FHL3	0	0			635
POLG2	0	0		0...37	38
GDA	20.35	16	504 527 713 856 1183 1321 1343 1483 1550 1879 2084 2090 2155 2677 3522 3657	68...114 193...231 306...628 655...880 1028...1426 1430...1515 1516...1753 2012...2054 2072...2224 2228...2279 2362...2411 2491...2571 2580...2617 2793...2862 3155...3193 3250...3332 3552...3592 3715...3837 3850...3881	3882
PHLDA3	2.3	2	1047 1070	1063...1093 1100...1132 1241...1276 1413...1453 1802...1857	1858
MINDY1	1	1	98	392...424	452
MMRN2	1.3	1	969	552...610 616...665 735...781 886...925 954...1008	1203
IRF1	4.1	2	666 670	661...691 759...864	865
NOSTRIN	0	0		81...121	544
PTPRE	11.1	9	26 62 268 1012 1073 1373 1913 2829 2903	6...134 138...330 511...590 591...632 974...1190 1232...1269 1327...1465 1774...1835 2608...2670 2694...2879	2949
AGAP5	1.3	1	257	34...194 244...313	314
SOX13	1	1	575	1459...1560 1563...1608	1609
GSTCD	10.4	8	374 530 941 1446 1598 1614 1873 2072	4...41 323...358 359...523 529...572 652...684 765...907 908...999 1057...1136 1240...1280 1429...1490 1529...1571 1572...1726 1753...2033 2034...2150	2151
FSCN2	0	0			50
WSCD1	2	2	500 3093	2619...2662 2667...2724 2785...2910 3724...3763	3764
PCSK1	5.2	4	575 1535 2137 2304	85...159 309...419 572...622 812...844 901...1122 1163...1236 1463...1514 1518...1562 1860...1968 1976...2089 2122...2227 2228...2438 2439...2585	2586
NUDT10	3.9	3	23 890 976	23...89 141...179 285...468 551...589 728...797 885...1078 1111...1205 1207...1285	1286
HOXA1	4.9	4	479 867 924 1028	531...569 736...770 835...900 917...977 987...1052 1199...1361 1490...1517	1518
SOX4	5.2	4	1454 1656 2206 2331	42...87 103...133 302...339 468...504 996...1080 1119...1208 1239...1292 1293...1395 1403...1601 1629...1774 1978...2026 2089...2138 2184...2404 2429...2474 2484...2582 2594...2655	2660
NR4A2	4.6	4	237 557 599 1101	146...197 264...356 482...527 570...851 933...1008 1025...1064 1065...1311	1312
PRR29	0	0		1321...1359 2490...2542	2543
TMEM132E	0	0		1014...1050	1086
BIK	1.3	1	109	70...131 154...228	407
B3GAT1	9.4	6	169 1594 1965 1969 2196 2206	1144...1206 1432...1467 1581...1622 1877...1913 1955...1996 2016...2055 2187...2255	2256
HOXA13	10.1	8	312 512 734 996 2096 2714 3554 3603	62...124 165...217 297...352 491...533 539...578 668...842 879...1373 1389...1560 1684...1721 1742...1791 1925...2200 2441...2486 2570...2686 2687...2797 2825...2924 2960...3015 3043...3082 3292...3334 3553...3595 3641...3696 3703...3737 3758...3833	3834
SNX33	3.3	3	4442 4586 5001	1376...1453 4310...4369 4792...4851 4981...5085	5086
SORL1	13.1	11	341 484 1213 1337 1660 1948 3054 3834 3919 3969 4093	22...254 307...369 409...458 459...507 731...783 901...1008 1009...1061 1537...1710 1794...1888 1893...1940 1967...2007 2008...2081 2235...2297 2298...2349 2417...2455 3195...3233 3359...3433 3452...3486 3495...3605 3698...3800 3804...4118	4130
GPR162	0	0		182...213	217
C15orf41	7.8	6	704 1044 1167 1329 1677 1747	242...369 379...408 587...621 658...746 794...979 992...1191 1204...1394 1503...1541 1542...1580 1603...1643 1644...1769	1770
TCEANC2	0	0			20
GPR3	10.65	5	431 442 446 450 458	395...480 591...656 699...737 993...1022	1023
CXADR	24.6	18	257 410 414 623 927 1030 1244 1558 1728 2016 2318 3313 3814 3925 3949 4004 4021 4114	35...320 372...433 450...654 854...964 966...1146 1215...1307 1322...1390 1412...1527 1584...1767 1902...2212 2213...2364 2370...2421 2424...2470 2598...2636 2759...2909 3021...3086 3145...3184 3227...3357 3358...3461 3493...3534 3560...3976 3979...4066 4100...4239 4311...4407	4408
GTF2E1	4.9	4	71 945 1483 1543	55...91 208...286 405...443 510...579 619...678 753...819 854...910 911...1037 1162...1197 1198...1239 1394...1538 1573...1598	1599
GJA1	6.2	5	219 712 806 1444 1715	233...300 347...469 473...523 547...605 628...799 800...961 963...1006 1010...1362 1376...1420 1430...1565 1575...1642 1689...1730	1731
TAS2R10	0	0			29
MAPKAPK2	1.3	1	1552	42...83 236...299 956...1011 1538...1564	1565
DIRC2	1.3	1	1142	375...438 750...788 813...901 1124...1221 1309...1364	1365
KIAA2022	27.9	22	172 291 389 738 819 950 1052 1114 1608 2726 2769 2990 3967 4210 4231 4349 4358 4929 5127 5189 5199 5522	0...101 119...285 286...334 382...456 460...545 546...616 640...703 775...1086 1087...1161 1206...1306 1469...1573 1628...1679 1746...1779 2124...2185 2284...2364 2552...2644 2645...2696 2703...2797 2835...2874 2879...2931 3026...3093 3160...3251 3350...3386 4161...4267 4268...4420 4449...4491 4572...4611 4869...4923 4927...4997 5135...5181 5182...5506 5507...5827	5828
CCL22	0	0		521...553 739...772 884...926 1050...1088 1212...1248 1374...1421 1755...1838 2164...2202 2577...2601	2602
MYOM1	0	0		126...283	455
ARL4A	0	0		0...42 105...147 290...318	319
ARHGAP21	2.6	2	188 444	23...62 63...109 161...286 343...371 372...480 503...672 690...749 763...802	803
FGFBP3	2.6	2	1048 1282	191...237 238...293 378...429 634...670 830...871 1048...1090 1091...1306 1344...1429 1442...1477 1555...1603	1604
RGS16	7.7	5	635 1334 1407 1552 1556	101...148 1329...1442 1538...1584 1625...1668	1669
GADL1	3.6	3	658 731 1599	191...242 306...358 531...578 619...651 677...985 986...1041 1042...1197 1283...1337 1424...1473 1479...1663 1670...1745 1756...1953 1955...2041	2042
S1PR2	2	2	294 2012	333...376 504...540 634...693 818...866 1534...1606 1731...1773 1871...1906	2409
SMIM3	4.65	3	917 923 987	837...872 886...957 979...1110	1111
GPR137B	1.3	1	214	86...132 206...453 525...571 572...606 666...747	751
EFNB1	1.3	1	102	97...149 404...455 536...570 1352...1492	1493
STK26	16.6	13	485 599 645 703 718 927 992 1095 1208 1273 1373 1624 1767	126...452 469...561 639...741 772...821 837...1172 1189...1741 1750...1783	1784
BCO2	0	0			127
PAPSS2	5.2	4	384 1567 1633 1720	34...276 328...366 382...476 524...564 581...616 627...698 833...875 988...1025 1198...1270 1288...1377 1379...1487 1489...1545 1546...1660 1672...1734	1735
CLDN4	2.3	2	351 785	771...851	853
PDLIM7	0	0			251
SLC23A2	9.2	8	94 189 280 767 904 1152 3111 3475	60...111 879...958 1145...1177 1434...1525 1847...1938 2529...2574 2622...2686 2809...2849 3136...3182 3334...3393 3395...3603 4304...4403 4427...4614	4616
STX2	9.25	7	19 827 1159 1241 2049 2057 2129	254...388 519...561 724...907 1226...1423 1728...1757 1946...2104 2113...2240 2253...2299	2300
A2M	0	0		62...110	111
TIMP3	8.6	7	107 123 1722 2428 2438 2781 3551	280...355 874...988 991...1028 1029...1203 1525...1634 1635...1666 1720...1781 1787...1829 2413...2519 2532...2567 2716...2764 3040...3090 3242...3303 3499...3665	3666
ACTL7B	1.3	1	60	53...93	94
TMEM86A	3.3	3	1719 2678 2735	1071...1109 1557...1586 1760...1799 1874...1960 2337...2374 2543...2577 2678...2716	2776
RELT	2.3	2	1014 1069	781...821 1059...1097	1149
PHACTR3	1.3	1	462	13...89 381...580	581
ABCG1	1	1	281	224...279 444...539 540...623 734...782 812...851	852
ANXA3	2.3	2	70 175	117...299	300
BBS12	1.3	1	872	10...82 380...430 865...915	918
EPHA2	3.9	3	92 798 816	86...117 557...609 754...877	878
CD160	1.3	1	394	9...46 273...456 597...659	660
CTD-2132N18.2	1	1	1250	416...472 599...635 945...1056 1076...1123 1432...1472	1473
GRK5	1.3	1	377	299...432 464...505 510...551	552
CD55	15.15	9	102 280 765 769 775 779 908 1096 1215	66...156 338...508 509...546 644...964 1007...1355	1356
PLN	6.5	5	381 815 1281 1311 1619	67...105 129...335 336...498 499...753 772...858 972...1105 1145...1387 1457...1496 1521...1594 1610...1649	1650
HES1	0	0		110...498	499
ASB13	0	0		711...764 1164...1196 1675...1710	1835
ZFP14	0	0		131...168 212...314	315
TMEM266	0	0		78...113 1419...1458 1797...1830	1831
C1QTNF3	2.3	2	341 470	90...132 278...366 367...433 517...608 677...719 755...988 1050...1129	1130
SYNGR3	1.3	1	1065	1063...1115	1203
PLK3	3	3	216 233 251	286...311	312
SEL1L3	3.6	3	617 672 954	125...175 372...438 556...610 634...739 902...945 948...991	992
KCNA1	14.4	12	126 881 1003 1039 1634 2979 3319 4061 4442 4775 5093 5123	40...87 192...290 291...417 462...599 665...723 841...914 942...1001 1002...1100 1131...1212 1444...1545 1619...1668 3294...3360 3890...4090 4091...4176 4233...4383 4428...4587 4609...4648 4820...4933 5037...5117 5131...5173 5295...5389	5390
SCGB1C1	0	0			123
ATF3	3.3	3	221 430 1160	1066...1221	1222
SSTR2	10.1	8	374 865 1804 3095 3145 3863 4310 4413	173...207 269...408 584...668 860...950 1062...1112 1114...1156 1320...1355 1484...1592 1946...1986 2062...2095 2115...2226 2302...2403 2446...2497 2603...2641 2763...2818 2950...3174 3305...3396 3531...3566 3691...3758 3848...3916 4126...4195 4305...4386 4399...4516 4517...4687 4702...4853 4856...4910 5025...5064 5320...5386 5832...5901 6160...6203	6204
MRVI1	5.9	5	597 1126 1356 1868 2005	365...448 564...610 619...659 834...881 1244...1324 1342...1466 1816...1891 2239...2269 3211...3240	3241
DGKH	64.5499999999999	48	696 701 1002 1013 1031 1086 1162 1560 1673 1702 1762 2542 3468 3495 3675 3686 3992 4837 4870 5358 5857 6079 6088 6618 6729 6866 7033 7037 7134 7325 7924 7941 7965 8175 9132 9751 10804 11328 11479 12407 12596 12715 13116 13134 13148 13219 13423 13593	181...312 335...374 397...438 450...531 645...741 742...815 816...885 901...940 966...1074 1086...1114 1155...1277 1278...1453 1483...1826 1835...1929 2031...2066 2200...2272 2399...2437 2444...2500 2749...2831 2899...2939 2940...2978 3246...3307 3481...3712 3805...3846 3972...4064 4645...4749 4793...4861 4913...5213 5229...5260 5287...5379 5473...5566 5755...5923 5934...6446 6483...6825 6855...6916 6981...7182 7183...7350 7353...7496 7585...7618 7755...7814 7817...7863 7864...7899 7900...7997 7998...8058 8064...8247 8269...8391 8420...8497 8758...8854 8959...9062 9093...9482 9557...9677 9678...9794 9874...10004 10005...10440 10486...10554 10564...10667 10860...10928 10979...11102 11163...11454 11474...11527 11529...11576 11646...11693 11794...11824 11954...12015 12074...12106 12118...12208 12221...12360 12400...12488 12559...12591 12615...12660 12670...12739 12755...12959 13000...13244 13327...13565 13579...13617 13717...13744	13745
THAP10	6.7	4	495 499 594 687	27...161 203...332 370...425 476...553 566...665 668...757 791...834 851...1111	1112
DLX2	3.9	3	820 1023 1077	616...664 679...778 815...883 911...1103	1104
ALDH3A2	2.6	2	783 1640	34...180 215...255 260...298 748...806 908...951 1078...1143 1175...1287 1632...1787 1788...1942 1992...2025	2026
PLK1	0	0		146...183 221...271 283...303	304
C16orf45	1.3	1	1340	1101...1133 1134...1267 1280...1429	1430
SHROOM1	1	1	64	242...278 408...472	476
TSPAN13	4.9	4	225 406 525 664	45...211 393...685 712...805 807...1044	1045
KCNC1	3	3	1229 3669 4156	971...1010 3885...3921 5107...5199	5200
ST3GAL1	5.9	5	518 700 1440 1687 4851	682...726 854...906 1431...1486 2167...2219 3701...3757 4235...4264 4380...4419 4726...4756 4842...4910	4911
MKNK1	0	0		661...720 828...878 1051...1096 1117...1155	1156
NEDD4	15.6	12	189 323 490 510 1082 1448 1551 2099 2334 2735 2763 2889	0...103 108...232 292...353 374...540 642...752 777...1262 1341...1388 1440...1622 2006...2044 2090...2266 2286...2464 2632...2974	2975
RASL10B	3.3	3	231 1288 1588	776...822 1286...1334	2216
PPP3R2	16.1	14	366 861 1201 1586 1662 1717 1923 2320 2411 2499 2545 2633 2681 2781	245...395 1249...1319 1584...1622 1626...1687 1701...1773 1824...1857 1978...2014 2278...2317 2432...2540 2551...2602 2667...2793	2794
DCBLD2	10.4	8	301 934 1351 1478 2340 2452 2693 3279	39...112 230...348 449...532 686...736 799...844 930...1167 1332...1404 1419...1529 1557...1674 1749...1872 1885...2116 2117...2167 2168...2245 2267...2381 2417...2540 2543...2678 2688...2763 3030...3071 3089...3136 3151...3214 3274...3430	3431
DPP4	2.6	2	19 1007	17...179 220...257 262...303 310...381 721...773 807...864 865...1041	1042
PLEKHO1	2.3	2	72 490	56...126	542
ZNF345	0	0			35
SIAH3	10.8	9	156 204 268 1707 3765 4098 4119 4204 4276	88...179 180...234 243...305 738...777 832...871 887...930 1700...1730 2142...2176 2302...2342 2343...2375 2921...2960 3088...3128 3672...3718 3720...3747 4075...4201 4224...4263 4495...4527 4528...4676 5123...5195 5678...5738 5804...5841 5865...6092 6096...6139	6140
KLF16	2.3	2	750 2024	2014...2059	2060
IKZF1	10.8	9	859 1136 1583 1664 2573 3085 3415 4230 4303	118...208 303...353 583...639 1019...1057 1097...1190 1513...1553 1563...1614 1925...1979 2009...2150 2389...2481 2489...2644 2798...2830 3091...3138 3185...3246 3331...3471 3494...3571 3676...3725 3747...3816 4167...4253 4299...4379 4425...4464	4471
CAMSAP3	1.3	1	235	217...246	247
MYL12A	2.3	2	103 198	125...159 160...219 237...317	318
CTD-3074O7.11	1.3	1	1219	1029...1096 1201...1295 1327...1404 1458...1524 1529...1575	1576
DUSP4	7.9	6	553 607 618 2248 2551 3911	168...220 279...329 456...646 788...846 906...968 1330...1416 1417...1508 1842...1885 2540...2594 2595...2683 3860...3961	3962
DUOXA2	0	0		158...231	512
ISM1	3.9	3	391 516 1034	102...149 364...436 506...579 686...751 883...965 976...1094 1096...1191	1192
CHST1	2	2	296 438	715...810	811
XIRP1	0	0		373...412 673...698	699
COL15A1	0	0		13...228 364...478 495...709 807...896	906
CORO2A	2.3	2	2804 3275	87...141 569...608 735...776 795...829 931...969 1254...1297 1394...1468 3228...3303 3305...3395 3609...3650 3651...3798	3799
ALK	0	0		132...246 422...449	450
DACT3	1.3	1	775	736...799 835...869	870
DNAJA4	4.65	3	180 186 1525	161...228 229...282 731...778 782...817 1120...1182 1480...1511 1512...1550 1576...1668 1690...1735	1736
GAN	34.4	26	536 1399 2188 2242 2494 2748 2793 2860 2877 3466 3813 4737 4831 4835 5287 5617 6302 6855 7520 8503 8885 9382 10291 11327 12753 13279	253...282 283...339 555...671 839...1080 1090...1200 1280...1322 1358...1621 1645...1682 1791...1823 1846...1918 1949...1982 1988...2090 2163...2219 2290...2435 2436...2682 2703...2816 2851...2980 2998...3069 3120...3187 3323...3363 3384...3487 3504...3542 3800...3833 4134...4206 4423...4503 4689...4758 4785...5075 5160...5423 5540...5577 5578...5641 5642...5688 5820...5855 5952...6025 6026...6087 6289...6564 6686...6751 6804...6880 6969...7087 7504...7616 7718...7787 8128...8209 8313...8353 8491...8541 8542...8750 8765...8828 8873...8970 9004...9073 9179...9213 9501...9545 9638...9675 9680...9718 10049...10088 10213...10264 10278...10312 10624...10683 11268...11407 11517...11644 11737...11778 12108...12152 12300...12386 12389...12457 12486...12602 12656...12693 12711...12906 12979...13158 13163...13287	13288
PABPC5	6.6	5	683 858 1160 1331 1342	71...277 304...410 429...599 758...848 849...920 949...1065 1112...1224 1240...1668 1686...1857	1858
ARL5B	37.6	29	26 90 635 704 1049 1234 1515 1557 1571 1600 1850 2138 2157 2210 3071 3142 3346 3427 3858 4053 4418 4646 5171 5313 5372 5442 5719 5793 6053	80...117 144...361 588...668 672...929 956...997 1013...1624 1671...1821 1835...1873 1960...2019 2020...2258 2287...2613 2684...2819 2858...3117 3124...3207 3211...3240 3241...3402 3403...3456 3484...3543 3718...4023 4033...4132 4198...4279 4328...4453 4461...4640 4645...4704 4863...4978 5018...5067 5074...5102 5162...5298 5299...5337 5338...5381 5423...5706 5709...5839 5847...5887 5889...5928 6021...6128 6130...6278 6349...6422	6423
RBM24	18.6	13	418 860 926 984 994 1097 1106 1198 1261 1265 1399 1605 1672	43...128 129...197 295...339 405...466 916...1374 1391...1574 1667...1755	1756
HDAC5	0	0		30...81	82
VAT1L	5.3	5	502 539 1694 2018 2276	745...814 838...879 993...1041 1556...1605 2004...2144 2326...2411	2412
RASGRF1	0	0		890...1050 1119...1241 2161...2196	2197
HECTD2	14.5	11	325 593 607 1198 1327 1767 1992 2020 2064 2102 2208	2...57 102...203 242...296 317...350 400...510 542...752 772...1385 1556...1629 1650...1693 1700...1847 1939...2376	2377
WDR1	1	1	801	587...680 872...910 1007...1038	1039
ATP1B1	6.5	5	28 137 185 326 904	23...100 137...238 240...298 315...350 374...422 455...519 559...596 626...682 784...845 858...1032 1067...1105 1146...1166	1167
FAS	8.5	7	107 507 539 1057 1096 1175 1253	35...130 131...171 447...566 576...751 805...848 934...976 1085...1236 1277...1334	1335
CREG2	27.9	21	915 1209 1713 1870 1954 2074 2184 2696 3103 3591 3861 4202 4226 4382 4657 4910 5119 5123 5178 5305 5359	224...397 1052...1145 1159...1359 1411...1533 1534...1625 1631...1741 1995...2047 2062...2111 2136...2208 2209...2280 2344...2430 2431...2544 2598...2638 2683...2754 2817...2896 2932...3035 3060...3146 3196...3297 3298...3357 3406...3456 3536...3574 3591...3694 3753...3789 3856...3922 4178...4281 4310...4455 4547...4651 4652...4798 4893...4948 5063...5371	5372
MRAP	0	0		254...293	294
FOXA2	2.3	2	563 585	236...275 312...351 362...414 439...535 581...620 628...755 809...844	845
ADAT2	5.2	4	551 632 881 928	74...125 175...280 411...449 470...730 863...973 1207...1287 1379...1473	1474
F2RL1	3.9	3	1300 1396 1481	70...108 315...389 670...709 820...904 1009...1363 1379...1513	1514
FAM19A4	6.5	5	731 786 809 839 1210	106...140 175...214 407...884 894...950 964...1027 1087...1292 1312...1375	1376
BORA	2.3	2	331 918	83...121 185...277 375...520 557...644 809...871 873...981	982
BDNF	11.4	9	3 152 1246 2181 2363 2525 2746 2765 2843	2...176 256...510 540...610 619...758 885...950 990...1147 1490...1527 1637...1676 2154...2358 2359...2388 2518...2609 2665...2702 2703...2823 2824...2927	2928
HBEGF	7.7	5	604 628 632 785 1413	278...319 341...388 546...688 1408...1455	1456
PRDM16	7.2	6	468 1393 1686 1704 4095 4764	397...462 481...586 620...692 1358...1539 1642...1824 2292...2333 2385...2417 2609...2648 3540...3577 3883...3984 4205...4324 4421...4501 4594...4696 4759...4809	4810
FPGT	1.3	1	1239	0...84 85...339 371...421 435...494 495...717 718...865 951...1147 1168...1401	1402
FRMD5	11.1	9	337 995 1465 1877 2173 2197 2301 2958 3109	204...241 269...381 519...667 754...834 981...1163 1167...1230 1663...1703 1734...1766 1810...1846 1847...1891 2172...2234 2578...2638 2648...2933 2937...3120	3121
NTHL1	0	0			109
OSMR	13.4	8	455 912 966 1382 1397 2006 2010 2014	355...430 437...498 588...720 817...876 906...1013 1219...1274 1368...1435 1554...1589 1996...2196	2197
LDLRAD4	16	13	319 602 936 998 1583 2702 2836 3019 3326 3441 4329 5947 6727	95...129 306...368 369...430 455...511 582...669 744...809 909...961 985...1138 1536...1648 1975...2044 2608...2662 2686...2751 2758...2823 3027...3077 3277...3358 3424...3464 3610...3700 3998...4083 4318...4354 4490...4535 4747...4820 4957...5031 5033...5131 5166...5260 5294...5347 5356...5395 5404...5468 5625...5654 5698...5771 5881...5915 5954...6034 6130...6175 6182...6220 6225...6327 6579...6918 6962...7065 7066...7096	7097
FOXC1	7.8	6	507 879 1261 1331 1392 1478	64...123 175...215 271...345 393...431 474...540 585...842 845...904 936...1045 1098...1172 1177...1327 1328...1423 1449...1506 1537...1576 1728...1789	1790
CYSLTR2	9.1	7	75 110 1527 2092 2255 2834 3179	63...228 317...349 712...744 757...796 928...965 1216...1284 1490...1564 1755...1811 1880...1923 2050...2239 2244...2330 2337...2431 2574...2817 2820...2855 2870...2912 3124...3229 3301...3367	3368
GDF10	0	0		516...576 621...754	755
CYP21A2	0	0			536
BTN3A1	1	1	465	212...295 371...410 987...1040 1153...1200 1418...1455 1481...1523	1524
