symbol	gene	FDR_3	logFC_3	FDR_6	logFC_6	FDR_12	logFC_12	FDR_24	logFC_24	FDR_48	logFC_48	biotype
RAB20	ENSG00000139832.4	2.822137671945769e-41	2.4151025333831115	2.50736128240414e-137	2.7562632526670727	8.433207617808008e-147	2.462114757479828	1.3435599301284402e-96	2.151326015596518	3.907318760830698e-67	1.668517567477628	protein_coding
LYPD3	ENSG00000124466.8	1.169442033815273e-39	4.6547428415045164	3.563977112247785e-100	5.5704412408793464	3.7479457824352914e-35	4.17360964545663	8.529469099965038e-7	2.218341778013075	NA	NA	protein_coding
HEXIM1	ENSG00000186834.3	1.733315680942755e-36	1.47428173229218	1.431259605774624e-87	1.6913540979376767	5.123487711448415e-29	0.7219420288413632	5.089869469703814e-8	0.4818269232024788	0.09695669574932685	0.1957332568180701	protein_coding
ABTB2	ENSG00000166016.5	3.474519343067063e-36	2.721499233649671	3.49820111397e-313	3.8192988300823107	3.379149473094032e-13	1.051331214255645	0.007054464583326554	0.47857614172875534	0.0010693140866770451	0.45462776175247155	protein_coding
RRAD	ENSG00000166592.11	9.609273625798388e-35	1.5575060749567877	1.0956443955911482e-7	0.9491778314044609	6.50215959502725e-22	-1.8929346451713758	3.0595609864238664e-46	-2.755798240247339	2.4706322098641413e-58	-3.8792416130832152	protein_coding
IFFO2	ENSG00000169991.10	4.644333701273871e-34	1.670719184231819	1.692125662364981e-73	1.445550567351383	6.23595967371862e-6	0.4522444133955684	0.0035957643623330234	0.2824525380123211	0.5317681187120524	0.09297830941411238	protein_coding
CXCR4	ENSG00000121966.6	1.1938219849020589e-33	1.9304266676185375	1.0131955847111036e-147	2.4561017402109835	3.424028016562419e-153	2.102815108149374	4.968704883700269e-167	2.426737894241157	7.950780693542789e-172	2.977601545809389	protein_coding
ZNF836	ENSG00000196267.12	1.3924818167131601e-33	2.543123238453628	9.41765885978638e-109	3.2636955483319907	5.202097282690794e-87	3.1907403891225417	4.360918752002576e-81	2.6901123476541033	7.739409729091609e-134	3.3519896806436957	protein_coding
TXNIP	ENSG00000265972.5	1.4917568990027035e-33	-1.4561419105851774	2.253045564553061e-52	-1.5406925738884303	6.59009463469508e-60	-1.2494475184505873	4.1580583975774655e-52	-1.3799654800453147	5.17629549670202e-67	-1.2035211436203292	protein_coding
CHD1	ENSG00000153922.10	2.0378078926463094e-33	1.8415715881569135	1.4093453584688088e-6	0.45043926928235567	0.3615092106091991	0.10464723887723734	0.7480392742399686	0.05533749408754485	0.5864830376091565	0.06233231979055854	protein_coding
GADD45B	ENSG00000099860.8	5.681548198536774e-33	1.3767837731818247	1.6602563577258108e-27	0.9084175226393764	0.5913072683380195	-0.054578553305584504	0.45661549485959596	-0.08485681254686216	8.707895782423845e-6	-0.3472808651711943	protein_coding
RHOB	ENSG00000143878.9	4.618504428001443e-32	1.5359844135364695	1.5177494997847208e-63	1.7413690405797513	4.4659953416183247e-131	1.3734593508335171	1.1145109304149294e-79	1.498379785115905	5.733636176321481e-122	1.7574382244736426	protein_coding
RAB3A	ENSG00000105649.9	2.816120440555279e-30	2.6348408389103066	0.5313751830852118	0.24947821096596975	1.1355827246382226e-6	1.0019499357666086	1.7154254318319019e-13	1.3413630565630712	1.4591220310145283e-15	1.3108519170586221	protein_coding
PDK4	ENSG00000004799.7	2.0215827089017615e-29	2.0460179028533583	5.334473503653197e-207	3.45526105975218	4.982205142128204e-264	2.885861399255775	3.2225612377715946e-57	2.057582305636488	1.2634067083696513e-224	2.5793860074425816	protein_coding
FAM222A	ENSG00000139438.5	3.2816177368264456e-29	1.9188072783183108	1.0291578257937198e-20	1.465748626728424	2.0891872979785454e-79	2.1007396741548776	2.3309822660505555e-104	3.436621544904357	1.4393930506865076e-120	4.034428752522718	protein_coding
GZF1	ENSG00000125812.15	9.915713878365763e-29	1.456821905814199	3.063159362857722e-15	0.8765084490219925	2.730965290327533e-13	0.63890740924812	2.81424049724272e-8	0.5065572603588883	1.4047174293884515e-9	0.5402465943035178	protein_coding
PRMT9	ENSG00000164169.12	4.718018496169554e-28	1.8441284291626208	8.278310490521027e-43	1.7165295492808093	0.32883682186886415	0.14379102192727483	0.8351858849979062	-0.04494687522366606	0.7546106685377639	-0.05530418558515949	protein_coding
RNF122	ENSG00000133874.1	5.579882780476404e-28	2.2088418435895174	1.3884606561791142e-20	1.420074044523745	0.02001137575693631	0.35676434477157565	0.25055971533742205	-0.20819218089625519	0.05277445729060706	-0.3001383837645831	protein_coding
FOXK2	ENSG00000141568.20	1.651878197876635e-27	1.4129414631577808	2.4851421394073213e-57	1.2157834445846103	2.184078016263109e-17	0.5121869000479922	2.348877558292839e-18	0.7140997997520431	1.255912270765138e-39	0.9622230771741925	protein_coding
ZNF571	ENSG00000180479.13	2.0863139764062595e-27	2.8565172371131426	0.9211932380749431	-0.07813667040895084	0.6187362190550321	0.18710702346043048	0.8941188794486896	0.054256676748687706	0.27551608583139564	0.3152288750050249	protein_coding
KCNK5	ENSG00000164626.8	2.7468413400690736e-27	4.280626595206688	4.1280486972648996e-35	3.2608901559226022	5.081931075095544e-47	3.491589945053026	2.134393255646847e-25	3.700895134843901	1.867578207310213e-9	2.6021858639210804	protein_coding
HAS1	ENSG00000105509.10	1.6412393084189194e-26	2.811687145319175	1.320721523199565e-7	2.0839721224874492	3.947664788343567e-18	2.552008420762299	0.0018242038018410325	1.9377676011198655	0.38723160729404843	0.39114722092914095	protein_coding
SIRT1	ENSG00000096717.11	1.7546874460395694e-26	1.5500454275505704	1.8350787461177803e-44	1.2884130636352893	0.003954691799959555	0.2477943769841567	9.303352122682286e-7	-0.4431297700447508	0.0018952285709494159	-0.2823364983540015	protein_coding
SGK1	ENSG00000118515.11	1.763763210423547e-26	1.3718121410129098	3.4105263556077405e-87	1.486258138535798	7.449624340002312e-59	1.000966780287281	2.307444122154375e-39	1.0090380707933388	7.280977015995775e-53	1.4011739201599889	protein_coding
RHOU	ENSG00000116574.5	8.857810094751244e-26	1.6623570622995971	1.0695175271158249e-59	1.8865006123046644	6.2622831354438964e-164	2.481658931482554	9.608512141742406e-128	2.2191172723988712	1.0069370691746326e-127	2.2821659418086733	protein_coding
CTH	ENSG00000116761.11	4.622214276085554e-25	1.8229543497959144	6.881286894654879e-150	3.3256379756244274	5.829274330341007e-21	0.9898797088741565	1.0578227824071832e-4	0.49355801625792284	0.5498868655122765	0.08525009310822163	protein_coding
GRAMD4	ENSG00000075240.16	5.10461703662032e-25	2.0534370510636895	3.176595513624792e-108	2.3719033111812182	4.343070340498811e-10	0.9123954537353224	3.748330274310341e-7	0.7504948312470532	0.7962210673903479	-0.050031575268340664	protein_coding
GEM	ENSG00000164949.7	5.239593364815945e-25	1.2853792358933025	8.316963256490968e-4	0.4381362388662571	0.13000843019498876	-0.16018245146833454	0.0469650336404393	-0.2616873770635874	3.1064529799133907e-9	-0.6418991758574822	protein_coding
SHH	ENSG00000164690.7	7.328963638336767e-24	2.2004620134453585	0.11220522275269607	-0.40994574868065853	4.165335416039741e-45	1.7766179490797849	2.0855738465216614e-27	2.018058500263988	4.176967178528944e-18	2.1528037836002514	protein_coding
ZNF503	ENSG00000165655.16	3.6946398174571876e-23	1.6821036148837134	1.3319933771929807e-46	1.7211756593615073	1.7546817139233767e-90	1.5247251079101718	4.121184256410364e-14	0.6306764549703959	0.007517258997174774	0.25574911698254416	protein_coding
GREB1	ENSG00000196208.13	7.528291391623231e-23	2.9804176842178514	2.183031535717057e-149	4.449287041690981	6.398571879853063e-116	3.716868661455684	3.3954445451875125e-39	2.9163602717422665	1.7121339825434093e-49	3.0652679810393995	protein_coding
EVX1	ENSG00000106038.12	7.528291391623231e-23	5.435331431008997	NA	NA	2.6636128218684966e-9	2.9266772276005186	NA	NA	NA	NA	protein_coding
DUSP1	ENSG00000120129.5	1.2413445691992845e-22	1.2594755126678114	2.6137178601052726e-37	0.9584540167387631	7.316728557183248e-22	0.6145271300698768	7.408242028252875e-5	0.4207012787275801	0.07403636870587854	0.14699090799603487	protein_coding
ADAMTS4	ENSG00000158859.9	2.1332567911405567e-22	1.4705465590766702	5.4872874235639995e-40	1.2740770545831444	0.44851810453769203	0.0978694374927483	0.09467263095666431	0.24144064842039623	0.5583061905633703	-0.0982491974484426	protein_coding
CASP9	ENSG00000132906.17	2.475806342682706e-22	1.6650942070037353	3.9102880111012743e-140	2.845051413889251	2.317805394196204e-59	1.8798220025374037	7.048924799370211e-22	1.2263815213913851	2.267774985951941e-31	1.2508591065641546	protein_coding
ZNF141	ENSG00000131127.13	7.415724576876269e-22	2.3249458032985206	0.09958584682352105	0.4029556713068739	0.9218784834114345	0.0308647115326581	0.4199492361077286	-0.22785339451254052	0.4964672916878063	0.19507196977081953	protein_coding
MAT2A	ENSG00000168906.12	1.0553385223148596e-21	1.355632053069618	1.9483016378848945e-47	1.1146392860735232	7.956533826578864e-7	-0.28040757206255923	0.005249546376590074	-0.23335749263257205	0.0026536561382299586	-0.22548113205719994	protein_coding
CEBPB	ENSG00000172216.5	1.6567460689951096e-21	1.3468120286747056	3.4335633269034914e-41	1.1953180726329817	2.498636531161714e-17	0.687581226677578	0.03973002262781183	0.2210668775994702	1.4812326534349424e-6	0.47868206991546475	protein_coding
KLF4	ENSG00000136826.14	1.9688511450082587e-21	2.072927585394419	1.8132534469637808e-35	1.4599094406327429	6.86498760936816e-19	0.9173347742721772	2.0054915884654576e-16	0.9164532587782632	1.136985502504605e-22	0.937822923407322	protein_coding
BTG2	ENSG00000159388.5	2.034050072419547e-21	1.8048272434517914	5.3787195913467e-43	1.8801615720121774	4.587322561542709e-51	1.5868369885309621	2.0442634332447045e-26	1.0702874969973544	7.450106910682526e-25	1.0736264070804105	protein_coding
USP37	ENSG00000135913.10	4.202755490906712e-21	1.5274532690303668	1.2243700793837885e-5	0.509187441022622	9.931966845631805e-4	0.34173394543692104	0.7766764875090026	0.040849881504617595	0.12644307137300992	0.17117862787449292	protein_coding
MT1X	ENSG00000187193.8	7.592487011246901e-21	1.2990157372939855	1.3689106405078746e-81	1.5197747300667694	1.4307535533576522e-107	1.4638607819514637	9.329231852412264e-94	1.828114351992175	3.26662605607344e-56	1.1496111743686317	protein_coding
NPTX1	ENSG00000171246.5	9.421774039690094e-21	2.3211513794842182	1.4509500980288183e-66	3.3292671630857544	0	5.121841572829221	1.1733737842698796e-218	4.969469351178154	2.4046607287636854e-156	5.059363942151906	protein_coding
FN3K	ENSG00000167363.13	2.1123979390784478e-19	1.9253297670240466	5.302351207495718e-78	2.3742221453291315	0.03304283900368666	0.2982353065160408	0.06957267078307368	0.314875513449774	3.707718827706893e-5	0.47402182711538215	protein_coding
PTP4A1	ENSG00000112245.10	6.022296151369989e-19	1.2724915823779215	1.9068369091976086e-151	2.2812212930394855	0	2.3805101282738903	1.967947556932689e-57	1.3718855362920062	5.706911828033945e-93	1.4593119047360417	protein_coding
VEGFA	ENSG00000112715.21	6.560656789344745e-19	1.0651510528343613	4.1654062176370685e-23	0.8819801396383065	1.7412041488935636e-19	0.5723900337871912	2.3559305170521297e-9	0.5501262101994406	7.246021310004813e-5	0.3323087518713517	protein_coding
NKAIN1	ENSG00000084628.9	1.2607071065585526e-18	2.11962717053585	6.652604942212081e-194	3.5151748640776392	1.1616752482648363e-303	4.820699604706266	0	4.639840798313691	0	5.39015585943793	protein_coding
ZBED1	ENSG00000214717.11	1.4173645024435506e-18	1.534203716933274	3.139620723046651e-263	2.8010373074121833	4.791697952451466e-108	1.5025553577445234	2.4735348986721697e-37	0.988348890410027	3.00048883930954e-48	1.1410544362137707	protein_coding
SIK1	ENSG00000142178.7	1.7822772336754824e-18	3.636431649401406	1.0733685330850544e-4	3.651308542430915	1.7165710870573104e-21	2.514955230023875	6.334874972503628e-5	3.041167581636045	2.118217830083702e-13	2.531589655244157	protein_coding
FAM46C	ENSG00000183508.4	4.506937518077774e-18	1.4938779236516184	6.111417315996737e-18	1.308650012365014	0.8483578524388519	-0.0463163853183558	0.8963966314298234	0.04004375404570318	0.480169718344142	-0.1853971125676819	protein_coding
TBX3	ENSG00000135111.15	3.8139697191323e-17	1.4786860406825706	1.757849258335591e-57	1.2886592913863228	1.5027197539535378e-51	0.9945037663195953	6.455580747215242e-54	1.2636521679380512	5.275445972684643e-107	1.824247242150865	protein_coding
ZBTB21	ENSG00000173276.13	5.561930751505496e-17	1.3945698470225565	7.776912517512805e-45	1.1480147706695345	1.593223951332011e-15	0.6331558505582325	0.6822594738426498	0.05641510269712534	5.624102331060677e-8	0.4649704061066365	protein_coding
RP11-90L1.8	ENSG00000275880.1	1.5188902020363854e-16	1.9211718695009146	4.605715087436225e-92	3.1399145227926555	1.5107292990277276e-57	3.1353312996151703	2.981725124004584e-14	1.992095349971129	0.0010008907667003	1.1465735679725657	antisense
CRY2	ENSG00000121671.11	1.9698209373925314e-16	1.3247515189556875	1.4487971965578306e-58	1.5453580226043893	3.1524764381577557e-5	0.6179234381553252	0.5184167371512697	0.09804510762922267	0.00988185992026936	0.266135239088702	protein_coding
SLC19A2	ENSG00000117479.12	1.5709107082774033e-15	1.1462024205325925	1.0076625047795188e-9	0.9167341474309203	2.980807115837773e-10	0.587712830363854	5.1522282673285725e-8	0.6175873368839487	6.436345025412897e-13	0.7266436689518421	protein_coding
ZDBF2	ENSG00000204186.7	2.0008645533937915e-15	1.517838102724222	8.18352976833862e-7	0.701920507253391	0.6565493222704606	-0.0709152603845678	0.17070376062441353	-0.22624900878544776	0.6949780842377532	0.07396948049645805	protein_coding
NFKBIA	ENSG00000100906.10	3.956417468099858e-15	1.1949120724406819	2.413295663530951e-22	0.7866990694780194	3.6748372640284906e-37	0.9737098511534199	5.205528538024765e-9	0.5581008843639685	7.932760763095001e-8	0.42474319236523445	protein_coding
NAMPT	ENSG00000105835.11	7.299839064456698e-15	1.2095696425313616	2.4589186977826985e-63	1.411171062298563	1.9465438815635077e-158	1.9890072645653947	1.9530139555891558e-80	1.4273605407015322	4.2034171124490505e-110	1.514496960218788	protein_coding
CBARP	ENSG00000099625.12	7.537505382485437e-15	2.7424144201734837	2.7539437443301454e-27	2.312379777024275	0.8117714855947787	-0.10530529174648123	0.2089351135504811	0.6452494223504661	0.8473755108288276	-0.07908731826223153	protein_coding
SLC25A19	ENSG00000125454.11	1.7131823752940785e-14	1.625970091379014	7.541803838914012e-150	2.8986501415357697	2.342863035513749e-69	1.8774962570901719	1.7856954626008203e-29	1.73100781170512	2.4825912825134135e-32	1.8313264514538854	protein_coding
PGAP1	ENSG00000197121.14	2.4208867999497973e-14	1.6352094770313237	5.989523582142672e-207	3.3124095620048903	8.11144937098896e-11	0.8041013041512096	0.0652580642479772	-0.3260963065248875	0.32113013202819896	-0.15050868736063316	protein_coding
NR4A1	ENSG00000123358.19	2.7811334837239602e-14	1.7252613632070855	3.18213888596342e-254	3.08118048948539	5.843737012588716e-228	3.0699025098442227	8.760920047417472e-204	2.737503386281633	4.28721549143026e-225	2.597613921113815	protein_coding
ZFP36	ENSG00000128016.5	1.0233371131542813e-13	1.5271040434747352	0.0020917842890269167	0.42489336206639583	0.0011309680600212592	-0.27075902952681685	0.1761099276276815	0.14292809211487725	0.4941855736350684	-0.07905609107037087	protein_coding
GPR157	ENSG00000180758.11	1.5800858980567964e-13	1.5308286228358519	5.975917570559402e-44	1.7221153234744433	1.0723029569232115e-6	0.8220170531621968	0.005169649273161777	0.5927182441989715	0.8534705662167122	0.03741862522900183	protein_coding
CITED2	ENSG00000164442.9	1.6251674154662302e-13	-0.8997050233941307	7.472129421683034e-23	-0.7261091228953643	8.479534049710302e-17	-0.5153051608657316	7.918749994271002e-6	-0.42077768726880704	0.8047981236634202	-0.02999884340714045	protein_coding
RP11-548K23.11	ENSG00000249967.1	2.926004774348711e-13	7.735141026423119	0.771551727824705	-0.5400867428926691	0.2838326251207159	-1.4189990541299038	0.04729424952418462	-1.8923643765779328	NA	NA	protein_coding
RANBP2	ENSG00000153201.15	6.923553197021672e-13	1.2588916586638181	1.4916982578177586e-41	1.3397201988945884	0.0021686521752949887	0.31981649180610455	0.4384995271667606	-0.11708607429140962	0.06625570882659051	-0.1892158700006585	protein_coding
ZFAND5	ENSG00000107372.12	9.119055119807898e-13	0.9920942349211729	0.6459590875163902	-0.05700284925939555	0.40587898116450993	-0.06675548906418255	7.956980295203017e-6	-0.3855036970907345	0.7425302961736104	-0.0326452365878154	protein_coding
ZC3H12A	ENSG00000163874.10	1.1989636220023104e-12	1.736164616487785	0.22790386775342822	0.3196997658696575	0.8626416928325334	-0.050083775917118746	7.554828500782769e-4	0.9810541065737094	2.671249648265549e-7	0.7351910322036798	protein_coding
TMUB1	ENSG00000164897.12	1.2285374683796681e-12	1.307752608636993	2.192138981092587e-47	1.5212849842247893	6.660101376154397e-4	0.41720444083433394	0.1023080263775098	0.18404299351488582	0.18749964907824196	0.15236854935841038	protein_coding
RIN2	ENSG00000132669.12	1.3822598078096568e-12	-0.8724724814827995	1.5591499220269743e-54	-1.4229286808371822	1.0131765389942326e-83	-1.4361543091652762	2.3815942320846063e-56	-1.2864120850578982	1.5186428759504776e-29	-0.9258690386571704	protein_coding
KLF3	ENSG00000109787.12	2.7122169698115256e-12	0.8821643966638406	1.693392237721281e-12	0.6704893303512556	1.8689896410853512e-4	0.3074175117912321	0.06497247039368245	0.18306755838424327	0.016178319238818475	0.2064629149531324	protein_coding
ZNF436	ENSG00000125945.14	2.722480879592884e-12	-1.3300353032783567	7.503689455467401e-19	-1.0390127117354115	8.55329497789645e-33	-1.0644383925715843	4.22018708424603e-17	-0.9099913400289448	3.63096736323849e-22	-0.826499360105067	protein_coding
CREM	ENSG00000095794.19	3.855178822174615e-12	1.1657178800451558	1.0336299638501154e-135	2.3936541316074185	1.6684530176588981e-46	1.421051649685698	5.5697691898789074e-15	0.815391558915138	1.0087167658590577e-26	1.1071808997246992	protein_coding
SOX9	ENSG00000125398.5	7.181349153620385e-12	2.3488056658944254	0.1934512619397802	0.4928357334702368	0.7851011870515255	0.145005267538089	0.04680126984708815	-0.8779054917904774	0.24042177397786527	-0.5852954648093309	protein_coding
DUSP16	ENSG00000111266.8	7.828763320541962e-12	1.1253297152051451	3.708184985117143e-188	2.2252894407520074	1.3625567400082015e-235	2.4888997736760246	4.350704645005661e-125	1.9558515043610036	1.2974851747543987e-148	2.1283034875044136	protein_coding
TIPARP	ENSG00000163659.12	1.000995134995201e-11	0.9308095163059833	0.2693950865551655	0.1388579168666741	0.1082456964362781	0.1899156825538449	0.5616590507429038	-0.07736079260573839	9.877821455631683e-4	0.31651514417080395	protein_coding
SLCO4A1	ENSG00000101187.15	1.3917274904831784e-11	2.1282264302996166	7.243691935519904e-19	2.1787417946902834	1.9447405736819195e-47	2.864255614203166	6.865834139701407e-62	3.3579872199349357	5.7297223284429296e-31	3.0071480240076376	protein_coding
RGS2	ENSG00000116741.7	2.71227973113107e-11	1.053657030871374	0.0017298129657537457	-0.3876626594397139	2.0384190235382904e-4	-0.5961959191090405	2.6815106109521373e-6	-0.5940554879032797	1.6724654617663944e-4	-0.4694935724868641	protein_coding
CAMK2N2	ENSG00000163888.3	2.954564626058165e-11	2.4049209568630694	1.664892821103366e-17	2.669069563406256	5.341640472811866e-5	1.2103426148108385	0.02271538965266296	0.9072758781803822	0.005592167249860466	1.746788748168038	protein_coding
ARL5B	ENSG00000165997.4	4.69744020882356e-11	1.0306012416875632	3.953520084373152e-11	0.612774995911354	2.887790816323919e-38	0.9976467119246765	0.3244833493123495	0.12540102396426214	0.0014952558970466778	0.3064535122530995	protein_coding
JUNB	ENSG00000171223.5	6.43204155629969e-11	1.0554531596189263	1.2243700793837885e-5	0.49603436950562546	1.5293489044461425e-4	0.390447429756684	0.37603083082265937	-0.10345352410936283	6.519010034404516e-7	-0.43288506805376986	protein_coding
CH507-9B2.1	ENSG00000277117.4	6.989790986327818e-11	1.6895870164499263	5.53409847982472e-14	1.5542531852627472	0.013367836006731987	0.7818369206604482	0.09372757276285144	0.7069379587677309	0.9414542031356885	-0.03435401661014303	protein_coding
C9orf72	ENSG00000147894.14	7.325193681821969e-11	1.2217427523043902	6.1250653207495206e-18	1.1597661547804912	0.017507015066857794	0.3728308401801543	3.5143479221909555e-6	0.7938031262205401	3.377717581587027e-9	0.7962710184688726	protein_coding
PDE4D	ENSG00000113448.18	7.928489040262962e-11	1.3298752975429793	3.3046171973502503e-21	1.1492305251330575	1.3180859039918377e-14	0.9508919142965667	1.563462202103619e-10	0.7367966810600589	0.4426207825681594	0.10765925596329401	protein_coding
AGAP3	ENSG00000133612.18	1.0195032593626537e-10	0.9153072856143072	8.945334965841575e-69	1.7630332508169657	0.0033620801808270573	0.23487427140331063	0.8680055959035791	0.023189667512104745	0.8406295556099525	-0.02544858189667618	protein_coding
ID2	ENSG00000115738.9	1.0452042367321477e-10	0.9582847649583217	6.220752705558105e-25	0.9783498487941322	5.0767415146715164e-12	0.46241707406716726	0.009532130930030474	0.2981895628696252	0.36192927885456694	0.09222081200716652	protein_coding
SLC7A8	ENSG00000092068.19	1.2276573655553765e-10	1.5808743478001666	2.0864409759938806e-25	1.5915845401416828	0.5140661864994965	0.13789213778326903	0.18529085822622537	-0.2992562333539553	0.004463486794180854	-0.4522699688616176	protein_coding
MSC	ENSG00000178860.8	1.4408618397160812e-10	-1.0396334138447	3.627865560746852e-48	-1.4555312268103109	3.5326853984530604e-27	-0.9663143232898751	5.884764342979344e-37	-1.0295748362430652	6.068969556213516e-40	-1.2421589806937643	protein_coding
PPP1R3B	ENSG00000173281.4	1.6877313409609591e-10	-0.9794368812731963	4.621151882743275e-5	-0.46415818154623967	4.608566958580694e-14	-0.7483899617775336	4.5216333030906337e-7	-0.5597830626943746	6.356294794815994e-8	-0.5329977497970174	protein_coding
RP11-449P15.2	ENSG00000273151.1	3.993222928976163e-10	3.4618515317635308	3.4080213294331294e-22	3.0865623004327793	2.0341243135941508e-129	6.083916179325958	6.249479844838644e-136	6.701172256584942	8.256560943461767e-167	6.603123883646542	antisense
C11orf96	ENSG00000187479.5	5.245218063341824e-10	1.465893420277177	1.2717148234744476e-6	0.5782479442759881	0.4702295176378822	-0.1112178630117765	1.3777740227082836e-9	-1.0163362523729496	1.4634915806398133e-27	-1.3364753149922686	protein_coding
ERN1	ENSG00000178607.15	9.952203719942992e-10	1.43555500927489	1.2063060087869857e-105	1.902432561949184	7.2081619494133196e-87	2.0791241307440123	3.43673116348316e-84	1.9903632804860143	3.6111457596090603e-81	1.823147272697342	protein_coding
PIK3R3	ENSG00000117461.14	1.6442478969412802e-9	0.857653056888742	0.01164504082847636	0.521821976703396	5.30827512384408e-4	0.3772965753034572	2.511588758224272e-6	0.5517938500661397	1.5365284936881775e-47	1.5486842104670906	protein_coding
MN1	ENSG00000169184.5	1.7933801385084886e-9	1.2995634549232213	1.7746258701496188e-16	1.091239362409335	4.084239822528968e-9	0.828311482117056	0.003820040807665778	0.31930013237270255	8.738164946199994e-4	-0.32246720037360593	protein_coding
SLC26A1	ENSG00000145217.13	2.120202839770527e-9	6.984168196538739	3.67347192057293e-6	3.395702631956993	1.3604446925135878e-7	3.519606270650412	2.7768723450055447e-27	6.495038932101261	5.361875546791975e-48	7.495855243959351	protein_coding
